"File","Path","LineNum","Text","Priority","Category"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1096","Please specify","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","401","Please specify","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","896","Postal Code","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","996","Postal Code","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","904","Postal code is too long.","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1004","Postal code is too long.","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1059","Privacy Guarantee","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","418","Proficiency","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","768","Proficiency","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","470","Proficiency","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","817","Proficiency","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","242","Profile Photo","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","612","Profile Status","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","709","Reason for Leaving","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1086","Reason for Leaving","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","621","Registration Fee Status","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1119","Registration Fee Status","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","293","Save","MEDIUM","Label"
